product_type,county,eic_count,installed_capacity,is_business,date,data_block_id
1,0,108,952.89,0,2021-09-01,2
2,0,17,166.4,0,2021-09-01,2
3,0,688,7207.88,0,2021-09-01,2
0,0,5,400.0,1,2021-09-01,2
1,0,43,1411.0,1,2021-09-01,2
3,0,265,13417.79,1,2021-09-01,2
1,1,7,80.0,0,2021-09-01,2
3,1,42,472.6,0,2021-09-01,2
3,1,12,295.5,1,2021-09-01,2
3,2,33,414.5,0,2021-09-01,2
3,2,22,581.5,1,2021-09-01,2
1,3,16,179.9,0,2021-09-01,2
3,3,47,677.03,0,2021-09-01,2
1,3,12,263.90000000000003,1,2021-09-01,2
3,3,38,2268.7000000000003,1,2021-09-01,2
1,4,9,72.2,0,2021-09-01,2
3,4,45,568.3000000000001,0,2021-09-01,2
0,4,10,855.0,1,2021-09-01,2
3,4,28,1084.0,1,2021-09-01,2
1,5,24,289.8,0,2021-09-01,2
3,5,89,1105.3,0,2021-09-01,2
0,5,5,1160.0,1,2021-09-01,2
1,5,6,205.2,1,2021-09-01,2
3,5,65,2203.0,1,2021-09-01,2
3,6,6,324.20000000000005,1,2021-09-01,2
1,7,31,334.8,0,2021-09-01,2
2,7,5,50.5,0,2021-09-01,2
3,7,147,1832.56,0,2021-09-01,2
0,7,14,2018.6,1,2021-09-01,2
1,7,11,503.6,1,2021-09-01,2
3,7,37,1227.1,1,2021-09-01,2
1,8,11,83.0,0,2021-09-01,2
3,8,58,722.1800000000001,0,2021-09-01,2
3,8,17,751.7,1,2021-09-01,2
1,9,20,247.9,0,2021-09-01,2
3,9,89,1119.42,0,2021-09-01,2
1,9,11,324.0,1,2021-09-01,2
3,9,19,523.08,1,2021-09-01,2
1,10,19,240.7,0,2021-09-01,2
3,10,111,1368.0,0,2021-09-01,2
1,10,9,239.5,1,2021-09-01,2
2,10,5,121.5,1,2021-09-01,2
3,10,48,1852.9,1,2021-09-01,2
1,11,39,384.3,0,2021-09-01,2
2,11,8,107.5,0,2021-09-01,2
3,11,247,2965.27,0,2021-09-01,2
1,11,21,822.0,1,2021-09-01,2
2,11,8,105.0,1,2021-09-01,2
